City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
thompson,90.0,CA,1637036796.0,93.0,55.7435,-97.8558,26.76,4.61
erzin,99.0,RU,1637036814.0,69.0,50.261,95.1623,23.67,3.8
mar del plata,49.0,AR,1637036798.0,95.0,-38.0023,-57.5575,61.09,1.99
kapaa,75.0,US,1637036815.0,81.0,22.0752,-159.319,78.78,4.61
tiksi,100.0,RU,1637036815.0,90.0,71.6872,128.8694,-6.05,5.35
chokurdakh,100.0,RU,1637036657.0,96.0,70.6333,147.9167,9.79,3.69
tuatapere,100.0,NZ,1637036816.0,77.0,-46.1333,167.6833,51.15,9.33
oron,99.0,NG,1637036817.0,90.0,4.8256,8.2343,76.23,2.8
buctzotz,36.0,MX,1637036818.0,84.0,21.2,-88.7833,66.92,3.83
rundu,81.0,NA,1637036819.0,60.0,-17.9333,19.7667,70.02,6.2
ribeira grande,8.0,PT,1637036819.0,83.0,38.5167,-28.7,67.75,13.62
cacu,100.0,BR,1637036682.0,83.0,-18.5567,-51.1308,72.03,9.98
puerto ayora,40.0,EC,1637036820.0,78.0,-0.7393,-90.3518,69.3,8.39
punta arenas,75.0,CL,1637036657.0,53.0,-53.15,-70.9167,46.51,18.41
jamestown,97.0,SH,1637036822.0,80.0,-15.9387,-5.7168,63.7,18.28
longyearbyen,20.0,SJ,1637036822.0,68.0,78.2186,15.6401,19.24,25.32
bethel,1.0,US,1637036825.0,73.0,41.3712,-73.414,41.05,3.0
ushuaia,20.0,AR,1637036827.0,61.0,-54.8,-68.3,44.26,6.91
villazon,93.0,BO,1637036828.0,53.0,-22.0866,-65.5942,56.75,3.47
ahipara,60.0,NZ,1637036829.0,68.0,-35.1667,173.1667,67.87,11.16
coihaique,0.0,CL,1637036829.0,81.0,-45.5752,-72.0662,37.35,4.61
port elizabeth,94.0,ZA,1637036830.0,74.0,-33.918,25.5701,66.09,13.76
torbay,90.0,CA,1637036832.0,94.0,47.6666,-52.7314,45.28,27.63
albany,90.0,AU,1637036832.0,77.0,-35.0169,117.8917,66.63,9.22
cravo norte,75.0,CO,1637036835.0,61.0,6.3017,-70.2041,78.67,6.62
cabo san lucas,100.0,MX,1637036835.0,77.0,22.8909,-109.9124,79.9,2.48
barrow,90.0,US,1637036836.0,72.0,71.2906,-156.7887,3.22,16.11
port alfred,100.0,ZA,1637036838.0,80.0,-33.5906,26.891,64.45,15.9
dikson,60.0,RU,1637036838.0,99.0,73.5069,80.5464,-13.58,6.53
nouadhibou,100.0,MR,1637036839.0,83.0,20.931,-17.0347,67.98,8.05
busselton,1.0,AU,1637036840.0,57.0,-33.65,115.3333,73.0,10.76
svetlogorsk,100.0,RU,1637036841.0,80.0,54.9399,20.1548,38.8,8.97
bluff,100.0,NZ,1637036841.0,77.0,-46.6,168.3333,51.51,26.46
rikitea,98.0,PF,1637036841.0,86.0,-23.1203,-134.9692,73.78,16.11
kenai,1.0,US,1637036585.0,86.0,60.5544,-151.2583,3.02,3.44
east london,93.0,ZA,1637036842.0,71.0,-33.0153,27.9116,65.48,17.09
puerto baquerizo moreno,85.0,EC,1637036568.0,81.0,-0.9,-89.6,68.14,11.52
atuona,23.0,PF,1637036685.0,74.0,-9.8,-139.0333,78.31,13.27
vanimo,99.0,PG,1637036843.0,75.0,-2.6741,141.3028,83.79,5.1
bathsheba,20.0,BB,1637036844.0,65.0,13.2167,-59.5167,81.21,23.02
los llanos de aridane,20.0,ES,1637036844.0,72.0,28.6585,-17.9182,62.35,7.0
katsuura,50.0,JP,1637036846.0,71.0,35.1333,140.3,64.44,11.27
ponta do sol,100.0,CV,1637036846.0,79.0,17.1994,-25.0919,73.18,7.18
te anau,91.0,NZ,1637036848.0,91.0,-45.4167,167.7167,46.02,7.05
tuktoyaktuk,40.0,CA,1637036849.0,84.0,69.4541,-133.0374,-9.4,5.75
vaini,40.0,TO,1637036850.0,78.0,-21.2,-175.2,80.76,10.36
grao mogol,94.0,BR,1637036851.0,95.0,-16.5594,-42.8897,58.41,5.06
ankpa,96.0,NG,1637036852.0,89.0,7.3706,7.6253,72.5,4.97
qaanaaq,100.0,GL,1637036853.0,82.0,77.484,-69.3632,1.42,9.78
husavik,12.0,IS,1637036854.0,74.0,66.0449,-17.3389,35.51,18.41
mahebourg,40.0,MU,1637036854.0,65.0,-20.4081,57.7,81.25,11.5
cape town,20.0,ZA,1637036654.0,79.0,-33.9258,18.4232,65.08,5.75
lazaro cardenas,21.0,MX,1637036856.0,76.0,17.9583,-102.2,75.94,3.18
buinsk,91.0,RU,1637036857.0,94.0,54.95,48.2833,22.89,8.52
georgetown,95.0,SH,1637036859.0,76.0,-7.9333,-14.4167,75.6,16.28
cockburn town,73.0,TC,1637036859.0,73.0,21.4612,-71.1419,82.06,15.9
pacifica,90.0,US,1637036860.0,94.0,37.6138,-122.4869,60.42,1.01
cayenne,40.0,GF,1637036862.0,85.0,4.9333,-52.3333,77.09,1.01
norman wells,75.0,CA,1637036865.0,77.0,65.282,-126.8329,-3.96,3.44
bambous virieux,40.0,MU,1637036867.0,65.0,-20.3428,57.7575,81.21,11.5
hobart,75.0,AU,1637036840.0,61.0,-42.8794,147.3294,57.25,3.0
naze,16.0,JP,1637036868.0,58.0,28.3667,129.4833,72.52,9.82
tame,43.0,CO,1637036868.0,58.0,6.461,-71.73,77.41,5.23
arraial do cabo,0.0,BR,1637036869.0,73.0,-22.9661,-42.0278,71.46,14.97
carnarvon,15.0,AU,1637036870.0,57.0,-24.8667,113.6333,77.07,17.27
nikolskoye,46.0,RU,1637036870.0,83.0,59.7035,30.7861,34.88,12.17
hermanus,100.0,ZA,1637036871.0,80.0,-34.4187,19.2345,61.9,5.3
bonthe,39.0,SL,1637036871.0,81.0,7.5264,-12.505,79.03,2.59
tocopilla,48.0,CL,1637036872.0,74.0,-22.092,-70.1979,62.87,3.49
kiama,10.0,AU,1637036873.0,51.0,-34.6833,150.8667,68.0,11.32
kysyl-syr,95.0,RU,1637036873.0,97.0,63.8986,122.7617,-5.98,3.49
geraldton,75.0,AU,1637036875.0,57.0,-28.7667,114.6,75.61,12.66
salinopolis,86.0,BR,1637036588.0,83.0,-0.6136,-47.3561,79.14,10.92
new norfolk,97.0,AU,1637036876.0,60.0,-42.7826,147.0587,56.91,3.0
